Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.346357,-0.64583,0,0,0,8.4465,-51.1024,112.614,-87.6356,0.23144,0,0,0,27.9324,-169.416,373.627,-290.82,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.282819,-0.636978,0.0355747,-0.0168872,-0.160584,16.7326,-140.507,418.414,-427.092,0.260104,0.111389,-0.0748524,-0.537516,44.4614,-373.206,1116.35,-1144.13,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.295847,-0.626778,0.0194927,0.0177149,0.050588,19.4704,-155.552,432.752,-414.29,0.288317,0.0458885,0.0398984,0.120746,41.2608,-335.677,940.705,-903.995,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.28166,-0.613555,0.0419723,0.0185385,-0.0228263,38.5144,-327.365,967.061,-979.863,0.315246,0.0663392,-0.0336435,-0.0634593,39.8801,-340.91,1014.71,-1034.36,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.280407,-0.593642,0.0487829,0.00134091,-0.00406549,40.941,-350.087,1040.06,-1059.55,0.337684,0.0461774,0.00729038,0.0351154,42.5249,-364.03,1080.06,-1098.89,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.287659,-0.572581,0.0501601,0.00337236,0.00294156,37.1476,-309.428,895.45,-888.77,0.359049,0.0510392,-0.0070683,-0.0169958,33.3199,-278.65,809.081,-804.958,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.280407,-0.550416,0.0535941,0.00341117,-0.00292156,45.4352,-388.78,1155.18,-1176.85,0.379265,0.0444848,-0.00262582,0.00943925,36.8203,-315.128,936.268,-953.826,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.287659,-0.52714,0.0549668,0.00121208,0.00368221,40.3304,-335.599,970.904,-963.564,0.398191,0.0442225,-0.00182201,-0.00850549,29.7361,-249.462,724.781,-721.151,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.280407,-0.502946,0.0594613,0.00858342,0.000296877,52.3338,-447.375,1328.21,-1352.34,0.415931,0.0369954,-0.0134208,-0.000683448,26.1066,-224.488,669.482,-683.869,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.287659,-0.476288,0.0641766,0.00148427,-0.00423277,46.1017,-384.426,1113.45,-1105.82,0.429691,0.0289071,-0.00410109,0.00590523,19.5693,-163.768,475.09,-472.284,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
