# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
4.916650,0.297330,-0.000000,0.000000,-0.003248,0.002124,-0.000810,0.000152,-0.000011,0.154499,-0.000000,0.000000,0.028694,-0.018399,0.004788,-0.000572,0.000026,0.490088,-0.000000,-0.000000,0.029556,-0.024437,0.007356,-0.000956,0.000045,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,0.241328,-0.013812,-0.006280,-0.011757,0.013128,-0.004926,0.000794,-0.000047,0.292424,0.029222,-0.002908,-0.004789,0.007649,-0.003279,0.000568,-0.000035,0.505755,0.026172,-0.007648,-0.017479,0.013702,-0.004319,0.000646,-0.000037,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,0.102032,-0.029145,0.000271,-0.015976,0.012768,-0.004106,0.000597,-0.000033,0.427403,0.024221,-0.003934,-0.015992,0.016964,-0.006541,0.001094,-0.000067,0.497563,0.015782,-0.005560,-0.021407,0.021982,-0.008184,0.001331,-0.000080,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,-0.099942,-0.042627,0.003862,-0.004411,0.000093,0.000762,-0.000211,0.000016,0.475122,0.017780,-0.004079,-0.032607,0.031306,-0.011412,0.001830,-0.000108,0.499529,0.015677,-0.000017,-0.033367,0.030308,-0.010813,0.001719,-0.000101,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,-0.326878,-0.054831,0.006030,0.017923,-0.021048,0.008404,-0.001428,0.000088,0.429692,-0.002599,0.001891,-0.039753,0.033732,-0.011577,0.001783,-0.000102,0.496038,0.018095,0.001326,-0.039392,0.035487,-0.012618,0.001998,-0.000117,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,-0.529692,-0.054665,0.003647,0.042795,-0.041281,0.015116,-0.002432,0.000144,0.273622,-0.030212,0.007321,-0.028299,0.019599,-0.005921,0.000826,-0.000043,0.494069,0.017826,0.003652,-0.042502,0.037545,-0.013253,0.002087,-0.000122,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,-0.655259,-0.037389,-0.001514,0.054275,-0.047161,0.016323,-0.002524,0.000145,0.023258,-0.058739,0.009562,-0.000611,-0.006831,0.003641,-0.000696,0.000046,0.492944,0.016191,0.005468,-0.041581,0.035942,-0.012571,0.001967,-0.000114,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,-0.660111,-0.002493,-0.007081,0.041707,-0.031234,0.009870,-0.001422,0.000077,-0.280329,-0.075165,0.007747,0.030299,-0.033663,0.012823,-0.002092,0.000125,0.492779,0.013636,0.006680,-0.036623,0.030634,-0.010558,0.001637,-0.000094,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,-0.520228,0.041862,-0.010547,0.007696,0.004421,-0.003515,0.000743,-0.000051,-0.582492,-0.073057,-0.001940,0.045122,-0.035901,0.011796,-0.001762,0.000099,0.493348,0.010630,0.007238,-0.028061,0.022075,-0.007396,0.001127,-0.000064,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,-0.223502,0.082393,-0.005068,-0.034600,0.034987,-0.012868,0.002067,-0.000122,-0.743311,-0.028401,-0.007727,0.022821,-0.013430,0.003551,-0.000434,0.000020,0.494275,0.007468,0.007194,-0.016852,0.011266,-0.003470,0.000502,-0.000028,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,0.116538,0.086902,-0.001566,-0.046858,0.042234,-0.014640,0.002254,-0.000129,-0.760472,0.014311,-0.010279,-0.010425,0.018089,-0.007639,0.001314,-0.000081,0.495186,0.004252,0.006655,-0.004398,-0.000342,0.000675,-0.000150,0.000010,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,0.430780,0.070448,0.002961,-0.037097,0.030002,-0.009802,0.001444,-0.000080,-0.637378,0.052214,-0.005986,-0.040408,0.041593,-0.015202,0.002417,-0.000142,0.495864,0.000962,0.005726,0.007649,-0.011090,0.004427,-0.000732,0.000044,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,0.667230,0.038802,0.002888,-0.014938,0.010697,-0.003247,0.000448,-0.000023,-0.396362,0.076312,0.000714,-0.049539,0.044460,-0.015290,0.002334,-0.000133,0.496321,-0.002393,0.004474,0.017655,-0.019401,0.007227,-0.001157,0.000068,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,0.785167,0.003222,-0.002071,-0.000194,0.001889,-0.001019,0.000195,-0.000013,-0.077124,0.080646,0.006644,-0.034302,0.026656,-0.008460,0.001211,-0.000065,0.496771,-0.005641,0.002913,0.024242,-0.024039,0.008651,-0.001361,0.000079,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,0.761929,-0.024593,-0.010640,-0.009365,0.016378,-0.007161,0.001268,-0.000080,0.267829,0.065817,0.008777,-0.004418,-0.000634,0.000996,-0.000249,0.000019,0.497509,-0.008384,0.001035,0.026437,-0.024237,0.008458,-0.001310,0.000075,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,0.595684,-0.035491,-0.020025,-0.048375,0.056622,-0.022027,0.003672,-0.000224,0.580327,0.038362,0.005901,0.022706,-0.021456,0.007514,-0.001181,0.000069,0.498733,-0.010062,-0.001156,0.023680,-0.019675,0.006569,-0.000992,0.000056,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,0.305187,-0.026874,-0.027706,-0.111843,0.115954,-0.042956,0.006956,-0.000416,0.802742,0.007077,-0.001681,0.030323,-0.022250,0.006726,-0.000947,0.000051,0.500527,-0.009871,-0.003407,0.015877,-0.010454,0.003025,-0.000414,0.000022,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,-0.064576,0.003999,-0.028660,-0.184664,0.178903,-0.064557,0.010299,-0.000609,0.889049,-0.015995,-0.009374,0.011475,-0.000537,-0.001753,0.000475,-0.000036,0.502082,-0.008462,-0.006079,0.002516,0.003984,-0.002340,0.000445,-0.000029,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,-0.457847,0.046557,-0.022106,-0.253148,0.237666,-0.085508,0.013686,-0.000813,0.796407,-0.038863,-0.018276,-0.032712,0.046639,-0.019225,0.003272,-0.000201,0.508537,0.002275,-0.004338,-0.014211,0.017853,-0.007376,0.001281,-0.000080,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
