Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.452088,0,0,0,0,19.9045,-97.6961,171.33,-104.731,0,0,0,0,-0.00938637,0.0437792,-0.0751998,0.0455042,0.5,0,0,0,1.32739e-118,-7.24374e-118,1.32664e-117,-8.26875e-118,0,0,0,0,0,0,0,0
0.399357,0.045,0.105762,-0.042592,-0.186065,22.4208,-135.626,287.172,-207.906,-3.17205e-05,-0.000126672,-0.000132027,6.44639e-05,-0.0742971,0.448331,-0.935729,0.669008,0.5,-1.33062e-120,-3.20214e-120,2.2315e-120,-8.15515e-118,5.17964e-117,-1.10366e-116,7.96296e-117,0,0,0,0,0,0,0,0
0.430011,0.0893365,0.0446779,0.0231521,0.0456985,19.3705,-107.6,207.201,-136.982,-0.00014703,-0.000144492,9.56146e-05,2.62946e-05,-0.0248772,0.138674,-0.270201,0.180486,0.5,4.43794e-120,6.3878e-120,-1.17388e-119,1.63991e-117,-9.67775e-117,1.91568e-116,-1.28361e-116,0,0,0,0,0,0,0,0
0.413716,0.134336,0.0718802,-0.00999376,-0.0222644,21.6323,-125.754,254.01,-175.805,-0.000218713,-0.000101052,-5.89665e-05,-4.45434e-05,-0.051345,0.296205,-0.593578,0.408326,0.5,-1.10449e-119,-1.39175e-119,2.89691e-119,-4.40431e-117,2.70682e-116,-5.58017e-116,3.89314e-116,0,0,0,0,0,0,0,0
0.420178,0.179336,0.0601008,0.00434579,0.00925687,20.8196,-118.816,235.368,-159.897,-0.000317221,-0.000161392,-8.4243e-06,6.17276e-06,-0.0572367,0.323917,-0.639539,0.433735,0.5,2.59783e-119,3.19764e-119,-6.80703e-119,9.76105e-117,-5.90438e-116,1.19797e-115,-8.22608e-116,0,0,0,0,0,0,0,0
0.454038,0.224382,0.0651792,-0.00187788,-0.00401226,13.181,-69.6903,127.978,-80.5697,-0.000444313,-0.000214667,-6.48472e-05,1.18498e-05,-0.0513451,0.271927,-0.498934,0.313758,0.5,-6.04952e-119,-7.39243e-119,1.58723e-118,-1.75325e-116,9.78479e-116,-1.83151e-115,1.16051e-115,0,0,0,0,0,0,0,0
0.419793,0.269381,0.0629884,0.000807192,0.00172804,20.6536,-118.06,234.31,-159.445,-0.000612166,-0.000230046,4.8495e-05,2.71233e-05,-0.0627287,0.35978,-0.716445,0.488757,0.5,1.40457e-118,1.71705e-118,-3.68685e-118,5.27643e-116,-3.19473e-115,6.48816e-115,-4.45943e-115,0,0,0,0,0,0,0,0
0.453365,0.314381,0.0639291,-0.000353353,-0.000751331,13.303,-70.4262,129.464,-81.5966,-0.000753914,-0.00018868,-1.93895e-05,-5.6046e-05,-0.0470488,0.246571,-0.450393,0.282705,0.5,-3.25969e-118,-3.97779e-118,8.57966e-118,-9.4768e-116,5.29702e-115,-9.92994e-115,6.30142e-115,0,0,0,0,0,0,0,0
0.452297,0.359308,0.0635051,0.00013351,0.000327451,13.415,-71.1817,131.143,-82.8393,-0.000911706,-0.00026865,-5.74692e-05,4.71228e-05,-0.0596438,0.318091,-0.587276,0.371323,0.5,7.55471e-118,9.2244e-118,-1.99538e-117,2.21268e-115,-1.23959e-114,2.32912e-114,-1.48148e-114,0,0,0,0,0,0,0,0
0.419792,0.404117,0.0636803,-4.25942e-05,-0.000120805,20.5999,-117.772,233.792,-159.122,-0.00110568,-0.000250583,5.94031e-05,-2.02283e-05,-0.0766593,0.433868,-0.858363,0.583242,0.5,-1.75341e-117,-2.16037e-117,4.60475e-117,-6.60692e-115,4.0001e-114,-8.12343e-114,5.5832e-114,0,0,0,0,0,0,0,0
0.416271,0.449117,0.0636412,3.5121e-05,1.43509e-05,21.572,-124.375,248.989,-170.899,-0.00128399,-0.00032448,-0.000231301,-0.000210825,-0.198643,1.1204,-2.21244,1.505,0.5,4.08406e-117,5.00035e-117,-1.07173e-116,1.5787e-114,-9.64207e-114,1.97533e-113,-1.36953e-113,0,0,0,0,0,0,0,0
0.411645,0.494115,0.063622,-4.73264e-05,5.67076e-05,22.911,-133.57,270.391,-187.67,-0.00168664,-0.000840549,-0.000297059,0.000359353,-0.306076,1.8084,-3.68419,2.56602,0.5,-9.48991e-117,-1.16073e-116,2.49028e-116,-3.8041e-114,2.35042e-113,-4.87128e-113,3.41656e-113,0,0,0,0,0,0,0,0
0.411645,0.539112,0.063707,8.92793e-05,-0.000164581,22.9199,-133.646,270.571,-187.805,-0.00225777,-0.000556169,0.000508578,-0.000180111,-0.133723,0.764704,-1.53875,1.06619,0.5,2.20421e-116,2.6955e-116,-5.78415e-116,8.83513e-114,-5.45892e-113,1.13137e-112,-7.93506e-113,0,0,0,0,0,0,0,0
0.416268,0.584111,0.0634942,-0.0001913,0.00039798,21.5603,-124.269,248.736,-170.709,-0.00256554,-0.000565475,-0.000363781,0.000266723,-0.191223,1.13884,-2.31443,1.60117,0.5,-5.1193e-116,-6.26003e-116,1.34339e-115,-1.97799e-113,1.20809e-112,-2.475e-112,1.71598e-112,0,0,0,0,0,0,0,0
0.416271,0.629109,0.0640015,0.000437759,-0.000934439,21.5926,-124.579,249.488,-171.277,-0.00292599,-0.000178969,0.000496806,-0.000903408,-0.15355,0.792443,-1.48886,0.983548,0.5,1.18893e-115,1.45384e-115,-3.12006e-115,4.59345e-113,-2.80551e-112,5.74757e-112,-3.98491e-112,0,0,0,0,0,0,0,0
0.411645,0.674107,0.0628166,-0.00101396,0.00217625,22.8591,-133.06,269.136,-186.708,-0.0033016,-0.00140184,-0.00108399,0.00232829,-0.240354,1.63342,-3.55783,2.57061,0.5,-2.76095e-115,-3.37504e-115,7.24875e-115,-1.10597e-112,6.83365e-112,-1.41633e-111,9.93386e-112,0,0,0,0,0,0,0,0
0.417891,0.719106,0.0655689,0.00234329,-0.00507539,21.2221,-122.344,244.465,-167.337,-0.00365683,0.00156981,0.00248532,-0.00559721,-0.0756898,-0.0781325,0.703521,-0.697854,0.5,6.40484e-115,7.80524e-115,-1.68915e-114,2.42886e-112,-1.47803e-111,3.01669e-111,-2.08346e-111,0,0,0,0,0,0,0,0
