# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
4.733320,-0.055156,-0.000000,-0.000000,-0.018575,0.010522,-0.002339,0.000218,-0.000006,0.219106,-0.000000,-0.000000,0.006772,-0.001769,-0.000710,0.000286,-0.000025,0.493552,0.000000,-0.000000,0.002073,0.002661,-0.002528,0.000628,-0.000049,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.733320,-0.175095,-0.030991,0.004747,0.010677,-0.016130,0.007128,-0.001290,0.000084,0.231050,0.007005,-0.004212,-0.023913,0.023365,-0.008624,0.001403,-0.000084,0.499772,0.023070,-0.006977,-0.041653,0.043420,-0.016667,0.002795,-0.000172,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.733320,-0.307229,-0.037496,0.000485,0.033287,-0.031934,0.011573,-0.001831,0.000106,0.161825,-0.009798,0.009306,-0.018757,0.008708,-0.001806,0.000169,-0.000005,0.489393,0.022946,0.010106,-0.052877,0.043081,-0.014658,0.002259,-0.000130,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.733320,-0.403326,-0.021249,-0.024587,0.006991,0.011524,-0.006978,0.001407,-0.000097,0.027494,-0.038938,-0.000359,0.004249,-0.002992,0.000524,0.000021,-0.000008,0.488854,0.004509,0.019449,-0.016895,0.003586,0.000491,-0.000246,0.000022,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.733320,-0.442426,0.020498,-0.017387,-0.056596,0.063644,-0.024274,0.004006,-0.000244,-0.155663,-0.034071,-0.023355,-0.029624,0.043399,-0.018448,0.003287,-0.000212,0.498241,-0.007519,0.003729,0.017563,-0.014553,0.004265,-0.000531,0.000023,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.733320,-0.385967,0.048330,-0.004376,-0.074776,0.070669,-0.024818,0.003839,-0.000220,-0.370852,-0.003251,-0.024605,-0.102005,0.104370,-0.038081,0.006080,-0.000359,0.505654,0.004083,-0.015381,-0.019068,0.030232,-0.012908,0.002253,-0.000141,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.733320,-0.231525,0.053892,0.027294,-0.025570,0.005360,0.001036,-0.000447,0.000037,-0.587659,0.001501,0.028472,-0.073596,0.039535,-0.008518,0.000741,-0.000017,0.493632,0.017438,0.014060,-0.038764,0.026823,-0.008608,0.001322,-0.000078,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.733320,0.046695,0.049655,-0.010195,0.018945,-0.005497,-0.000419,0.000339,-0.000033,-0.694040,-0.032625,0.011745,0.044897,-0.052134,0.021178,-0.003674,0.000231,0.498892,0.011154,-0.005765,-0.028999,0.034448,-0.014138,0.002470,-0.000157,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000
4.733320,0.362723,0.077739,-0.018105,-0.039421,0.053308,-0.021965,0.003763,-0.000233,-0.671795,-0.018949,-0.013990,0.076738,-0.057956,0.018683,-0.002756,0.000153,0.491650,0.023008,0.006181,-0.056098,0.048978,-0.017255,0.002723,-0.000160,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.733320,0.655909,0.079222,0.025020,-0.055633,0.033699,-0.009028,0.001088,-0.000047,-0.506294,0.042090,-0.036433,0.001801,0.026151,-0.013388,0.002486,-0.000161,0.490174,0.011096,0.019132,-0.028740,0.013868,-0.003023,0.000292,-0.000009,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.733320,0.886268,0.015977,0.033319,0.039967,-0.055939,0.022406,-0.003775,0.000232,-0.217282,0.089812,0.001049,-0.055222,0.051551,-0.018078,0.002797,-0.000161,0.495550,-0.006903,0.008043,0.013886,-0.015314,0.005399,-0.000812,0.000045,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.733320,0.993372,-0.036145,-0.011024,0.068158,-0.048657,0.014361,-0.001961,0.000102,0.188440,0.088431,0.006316,-0.024134,0.020938,-0.006868,0.000965,-0.000049,0.503223,-0.000718,-0.011967,-0.003516,0.013058,-0.006226,0.001128,-0.000072,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.733320,0.898696,-0.048602,-0.009400,0.004596,0.007518,-0.005724,0.001285,-0.000094,0.622618,0.066933,0.014853,0.019317,-0.016185,0.004129,-0.000414,0.000012,0.494687,0.005981,0.011258,-0.016751,0.009995,-0.003201,0.000518,-0.000033,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.733320,0.583827,-0.062226,-0.002956,-0.056108,0.051214,-0.018204,0.002877,-0.000169,0.992967,0.052779,-0.021036,-0.027113,0.048933,-0.022962,0.004302,-0.000285,0.499500,0.007923,-0.006349,-0.019850,0.026398,-0.011359,0.002043,-0.000132,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000
4.733320,0.110282,-0.082847,0.030353,-0.024944,-0.003174,0.005627,-0.001342,0.000098,1.119219,0.061562,0.000440,-0.124915,0.116290,-0.042283,0.006802,-0.000405,0.492864,0.022555,0.002390,-0.053978,0.050203,-0.018317,0.002964,-0.000178,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
