# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
4.916650,-0.202888,0.000000,0.000000,-0.007156,0.006412,-0.001897,0.000232,-0.000010,-0.100219,0.000000,-0.000000,-0.023157,0.014805,-0.003812,0.000449,-0.000020,0.490088,-0.000000,-0.000000,0.029556,-0.024437,0.007356,-0.000956,0.000045,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,-0.168124,0.007064,0.006825,0.009893,-0.011005,0.003993,-0.000624,0.000036,-0.205830,-0.024114,-0.000235,0.003460,-0.002873,0.001139,-0.000205,0.000013,0.505755,0.026172,-0.007648,-0.017479,0.013702,-0.004319,0.000646,-0.000037,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,-0.071068,0.020991,-0.000496,0.009862,-0.007653,0.002427,-0.000349,0.000019,-0.286908,-0.018448,0.001075,0.009382,-0.010443,0.004275,-0.000743,0.000046,0.497563,0.015782,-0.005560,-0.021407,0.021982,-0.008184,0.001331,-0.000080,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,0.070927,0.029920,-0.003377,0.001637,0.001316,-0.001005,0.000220,-0.000016,-0.321697,-0.010340,-0.000484,0.022575,-0.019831,0.007034,-0.001117,0.000066,0.499529,0.015677,-0.000017,-0.033367,0.030308,-0.010813,0.001719,-0.000101,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,0.223477,0.036914,-0.005705,-0.014691,0.017070,-0.006671,0.001115,-0.000068,-0.288703,-0.000875,-0.002349,0.024612,-0.019615,0.006612,-0.001016,0.000058,0.496038,0.018095,0.001326,-0.039392,0.035487,-0.012618,0.001998,-0.000117,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,0.356886,0.036177,-0.004441,-0.031778,0.031407,-0.011503,0.001844,-0.000109,-0.184247,0.017732,-0.005862,0.017293,-0.009690,0.002469,-0.000300,0.000014,0.494069,0.017826,0.003652,-0.042502,0.037545,-0.013253,0.002087,-0.000122,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,0.436377,0.024570,-0.000120,-0.040161,0.035894,-0.012555,0.001952,-0.000113,-0.017616,0.035122,-0.005508,-0.002602,0.008892,-0.004259,0.000774,-0.000049,0.492944,0.016191,0.005468,-0.041581,0.035942,-0.012571,0.001967,-0.000114,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,0.434601,0.002562,0.004523,-0.033431,0.026554,-0.008744,0.001303,-0.000073,0.183478,0.047316,-0.003041,-0.024398,0.026829,-0.010309,0.001693,-0.000101,0.492779,0.013636,0.006680,-0.036623,0.030634,-0.010558,0.001637,-0.000094,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,0.339192,-0.023896,0.007024,-0.014275,0.006037,-0.001025,0.000059,0.000001,0.378216,0.046287,0.001951,-0.036668,0.031791,-0.010989,0.001694,-0.000097,0.493348,0.010630,0.007238,-0.028061,0.022075,-0.007396,0.001127,-0.000064,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,0.146413,-0.047046,0.002309,0.007668,-0.008866,0.003396,-0.000554,0.000033,0.489205,0.019612,0.005940,-0.025345,0.019508,-0.006395,0.000951,-0.000053,0.494275,0.007468,0.007194,-0.016852,0.011266,-0.003470,0.000502,-0.000028,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,-0.076684,-0.050933,-0.001886,0.011134,-0.007903,0.002350,-0.000318,0.000016,0.504255,-0.004965,0.007119,-0.008093,0.002715,-0.000375,0.000008,0.000002,0.495186,0.004252,0.006655,-0.004398,-0.000342,0.000675,-0.000150,0.000010,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,-0.287689,-0.040717,-0.006031,-0.002710,0.008415,-0.003960,0.000721,-0.000046,0.427055,-0.027220,0.003515,0.006382,-0.007911,0.002894,-0.000447,0.000025,0.495864,0.000962,0.005726,0.007649,-0.011090,0.004427,-0.000732,0.000044,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,-0.449995,-0.019143,-0.007254,-0.027874,0.032250,-0.012406,0.002039,-0.000123,0.269181,-0.041045,-0.002333,0.005343,-0.003014,0.000555,-0.000017,-0.000003,0.496321,-0.002393,0.004474,0.017655,-0.019401,0.007227,-0.001157,0.000068,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,-0.534206,0.008574,-0.005252,-0.051934,0.052012,-0.018904,0.003004,-0.000176,0.055271,-0.042097,-0.009073,-0.013946,0.018284,-0.007380,0.001262,-0.000079,0.496771,-0.005641,0.002913,0.024242,-0.024039,0.008651,-0.001361,0.000079,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,-0.521663,0.035280,-0.001136,-0.063754,0.058973,-0.020672,0.003209,-0.000185,-0.179899,-0.030340,-0.014486,-0.045989,0.049312,-0.018318,0.002962,-0.000177,0.497509,-0.008384,0.001035,0.026437,-0.024237,0.008458,-0.001310,0.000075,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,-0.407527,0.054603,0.002920,-0.059117,0.051558,-0.017553,0.002672,-0.000152,-0.397041,-0.009012,-0.017403,-0.079980,0.079995,-0.028738,0.004537,-0.000266,0.498733,-0.010062,-0.001156,0.023680,-0.019675,0.006569,-0.000992,0.000056,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,-0.203961,0.061850,0.003238,-0.043277,0.036898,-0.012314,0.001841,-0.000103,-0.553454,0.019876,-0.015065,-0.104251,0.100091,-0.035455,0.005550,-0.000323,0.500527,-0.009871,-0.003407,0.015877,-0.010454,0.003025,-0.000414,0.000022,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.916650,0.065395,0.064289,0.001188,-0.025424,0.022216,-0.007565,0.001150,-0.000065,-0.618144,0.044362,-0.010427,-0.118091,0.110011,-0.038473,0.005969,-0.000345,0.502082,-0.008462,-0.006079,0.002516,0.003984,-0.002340,0.000445,-0.000029,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
